ID,Name,Industry,Inception,Revenue,Expenses,Profit,Growth
1,Lamtone,IT Services,2009,########,"6,482,465 Dollars",5274553,30%
2,Stripfind,Financial Services,2010,########,"916,455 Dollars",11412916,20%
3,Canecorporation,Health,2012,########,"7,591,189 Dollars",3005820,7%
4,Mattouch,IT Services,2013,########,"7,429,377 Dollars",6597557,
5,Techdrill,Health,2009,########,"7,435,363 Dollars",3138627,
6,Techline,Health,2006,########,"5,470,303 Dollars",8427816,
7,Cityace,Health,2010,########,"6,249,498 Dollars",3005116,6%
8,Kayelectronics,Health,2009,########,"3,878,113 Dollars",5573830,4%
9,Ganzlax,IT Services,2011,########,,11901180,18%
10,Trantraxlax,Government Services,2011,########,"5,635,276 Dollars",5453060,7%
